IPOrig,PortOrig,IPResp,PortResp,proto,service,duration,orig_bytes,resp_bytes,conn_state,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,label
192.168.1.193,50264,134.209.72.171,4554,tcp,-,0.204383,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50266,134.209.72.171,4554,tcp,-,1.248036,11,11,SF,0,ShADdfrFr,12,678,10,510,Malicious C&C
192.168.1.193,50268,134.209.72.171,4554,tcp,-,3.104481,0,0,S0,0,S,6,360,0,0,Malicious C&C
192.168.1.193,50268,134.209.72.171,4554,tcp,-,0.236614,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50270,134.209.72.171,4554,tcp,-,1.229795,11,11,SF,0,ShADdfrFr,12,678,10,510,Malicious C&C
192.168.1.193,50272,134.209.72.171,4554,tcp,-,1.22255,11,11,SF,0,ShADdfrFr,12,678,10,510,Malicious C&C
192.168.1.193,50274,134.209.72.171,4554,tcp,-,3.332844,11,11,RSTR,0,ShADdrfFr,14,798,10,510,Malicious C&C
192.168.1.193,50278,134.209.72.171,4554,tcp,-,3.091741,0,0,S0,0,S,6,360,0,0,Malicious C&C
192.168.1.193,50278,134.209.72.171,4554,tcp,-,0.205879,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50280,134.209.72.171,4554,tcp,-,3.341838,11,11,RSTR,0,ShADdrfFr,14,798,10,510,Malicious C&C
192.168.1.193,50282,134.209.72.171,4554,tcp,-,0.20388,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50284,134.209.72.171,4554,tcp,-,0.248106,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50286,134.209.72.171,4554,tcp,-,0.221122,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50288,134.209.72.171,4554,tcp,-,3.091497,0,0,S0,0,S,6,360,0,0,Malicious C&C
192.168.1.193,50288,134.209.72.171,4554,tcp,-,0.000005,0,0,S0,0,S,2,120,0,0,Malicious C&C
192.168.1.193,50288,134.209.72.171,4554,tcp,-,0.000007,0,0,S0,0,S,2,120,0,0,Malicious C&C
192.168.1.193,50296,134.209.72.171,4554,tcp,-,3.106975,0,0,S0,0,S,6,360,0,0,Malicious C&C
192.168.1.193,50296,134.209.72.171,4554,tcp,-,0.212876,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50298,134.209.72.171,4554,tcp,-,3.105486,0,0,S0,0,S,6,360,0,0,Malicious C&C
192.168.1.193,50298,134.209.72.171,4554,tcp,-,0.223605,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50300,134.209.72.171,4554,tcp,-,3.094995,0,0,S0,0,S,6,360,0,0,Malicious C&C
192.168.1.193,50300,134.209.72.171,4554,tcp,-,0.228861,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50302,134.209.72.171,4554,tcp,-,3.089491,0,0,S0,0,S,6,360,0,0,Malicious C&C
192.168.1.193,50302,134.209.72.171,4554,tcp,-,0.197634,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50304,134.209.72.171,4554,tcp,-,0.226355,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50306,134.209.72.171,4554,tcp,-,3.092262,0,0,S0,0,S,6,360,0,0,Malicious C&C
192.168.1.193,50306,134.209.72.171,4554,tcp,-,0.221854,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50308,134.209.72.171,4554,tcp,-,0.198117,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50310,134.209.72.171,4554,tcp,-,0.203616,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50312,134.209.72.171,4554,tcp,-,3.091266,0,0,S0,0,S,6,360,0,0,Malicious C&C
192.168.1.193,50312,134.209.72.171,4554,tcp,-,0.21461,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50314,134.209.72.171,4554,tcp,-,0.23111,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50316,134.209.72.171,4554,tcp,-,0.21337,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50318,134.209.72.171,4554,tcp,-,3.386311,11,11,SF,0,ShADdfrFr,14,798,10,510,Malicious C&C
192.168.1.193,50322,134.209.72.171,4554,tcp,-,3.337591,11,11,SF,0,ShADdfrFr,14,798,10,510,Malicious C&C
192.168.1.193,50324,134.209.72.171,4554,tcp,-,0.221621,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50326,134.209.72.171,4554,tcp,-,3.105484,0,0,S0,0,S,6,360,0,0,Malicious C&C
192.168.1.193,50326,134.209.72.171,4554,tcp,-,0.000005,0,0,S0,0,S,2,120,0,0,Malicious C&C
192.168.1.193,50326,134.209.72.171,4554,tcp,-,0.212127,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50294,134.209.72.171,4554,tcp,-,3.455043,11,11,SF,0,ShADdfFr,14,798,8,430,Malicious C&C
192.168.1.193,50328,134.209.72.171,4554,tcp,-,0.238108,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50330,134.209.72.171,4554,tcp,-,0.227616,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50332,134.209.72.171,4554,tcp,-,0.231862,11,11,RSTR,0,ShADdrfFr,10,558,10,510,Malicious C&C
192.168.1.193,50334,134.209.72.171,4554,tcp,-,3.280625,11,11,SF,0,ShADdfrFr,14,798,10,510,Malicious C&C
192.168.1.193,50336,134.209.72.171,4554,tcp,-,3.120976,0,0,S0,0,S,6,360,0,0,Malicious C&C
192.168.1.193,50336,134.209.72.171,4554,tcp,-,0.222622,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50338,134.209.72.171,4554,tcp,-,3.09549,0,0,S0,0,S,6,360,0,0,Malicious C&C
192.168.1.193,50338,134.209.72.171,4554,tcp,-,0.227118,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50340,134.209.72.171,4554,tcp,-,3.08874,0,0,S0,0,S,6,360,0,0,Malicious C&C
192.168.1.193,50340,134.209.72.171,4554,tcp,-,0.000005,0,0,S0,0,S,2,120,0,0,Malicious C&C
192.168.1.193,50340,134.209.72.171,4554,tcp,-,0.000004,0,0,S0,0,S,2,120,0,0,Malicious C&C
192.168.1.193,50342,134.209.72.171,4554,tcp,-,0.189635,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50344,134.209.72.171,4554,tcp,-,0.236108,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50346,134.209.72.171,4554,tcp,-,0.731593,11,11,RSTR,0,ShADadr,10,580,10,534,Malicious C&C
192.168.1.193,50348,134.209.72.171,4554,tcp,-,1.215056,11,11,SF,0,ShADdfrFr,12,678,10,510,Malicious C&C
192.168.1.193,50350,134.209.72.171,4554,tcp,-,3.114226,0,0,S0,0,S,6,360,0,0,Malicious C&C
192.168.1.193,50350,134.209.72.171,4554,tcp,-,0.000005,0,0,S0,0,S,2,120,0,0,Malicious C&C
192.168.1.193,50350,134.209.72.171,4554,tcp,-,0.000004,0,0,S0,0,S,2,120,0,0,Malicious C&C
192.168.1.193,50350,134.209.72.171,4554,tcp,-,2.530064,0,11,RSTO,0,ShAdfR,12,664,8,454,Malicious C&C
192.168.1.193,50354,134.209.72.171,4554,tcp,-,3.305114,11,11,SF,0,ShADdfrFr,14,798,10,510,Malicious C&C
192.168.1.193,50356,134.209.72.171,4554,tcp,-,0.212861,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50358,134.209.72.171,4554,tcp,-,3.356814,11,11,SF,0,ShADfdtrFr,16,926,12,590,Malicious C&C
192.168.1.193,50360,134.209.72.171,4554,tcp,-,3.148209,0,0,S0,0,S,6,360,0,0,Malicious C&C
192.168.1.193,50360,134.209.72.171,4554,tcp,-,0.220371,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50362,134.209.72.171,4554,tcp,-,3.098258,0,0,S0,0,S,6,360,0,0,Malicious C&C
192.168.1.193,50362,134.209.72.171,4554,tcp,-,0.220871,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50364,134.209.72.171,4554,tcp,-,0.21212,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50366,134.209.72.171,4554,tcp,-,3.083747,0,0,S0,0,S,6,360,0,0,Malicious C&C
192.168.1.193,50366,134.209.72.171,4554,tcp,-,0.000005,0,0,S0,0,S,2,120,0,0,Malicious C&C
192.168.1.193,50366,134.209.72.171,4554,tcp,-,0.000007,0,0,S0,0,S,2,120,0,0,Malicious C&C
192.168.1.193,50366,134.209.72.171,4554,tcp,-,0.000004,0,0,S0,0,S,2,120,0,0,Malicious C&C
192.168.1.193,50368,134.209.72.171,4554,tcp,-,0.212377,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50370,134.209.72.171,4554,tcp,-,0.22112,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50372,134.209.72.171,4554,tcp,-,3.101233,0,0,S0,0,S,6,360,0,0,Malicious C&C
192.168.1.193,50372,134.209.72.171,4554,tcp,-,0.000005,0,0,S0,0,S,2,120,0,0,Malicious C&C
192.168.1.193,50372,134.209.72.171,4554,tcp,-,0.238612,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50374,134.209.72.171,4554,tcp,-,3.159737,0,0,S0,0,S,6,360,0,0,Malicious C&C
192.168.1.193,50374,134.209.72.171,4554,tcp,-,0.000005,0,0,S0,0,S,2,120,0,0,Malicious C&C
192.168.1.193,50374,134.209.72.171,4554,tcp,-,0.200637,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50376,134.209.72.171,4554,tcp,-,3.11776,0,0,S0,0,S,6,360,0,0,Malicious C&C
192.168.1.193,50376,134.209.72.171,4554,tcp,-,0.236364,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50378,134.209.72.171,4554,tcp,-,1.235308,11,11,SF,0,ShADdfrFr,12,678,10,510,Malicious C&C
192.168.1.193,50380,134.209.72.171,4554,tcp,-,3.083029,0,0,S0,0,S,6,360,0,0,Malicious C&C
192.168.1.193,50380,134.209.72.171,4554,tcp,-,0.226371,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50382,134.209.72.171,4554,tcp,-,0.220869,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50384,134.209.72.171,4554,tcp,-,0.190391,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50386,134.209.72.171,4554,tcp,-,0.212379,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50388,134.209.72.171,4554,tcp,-,3.143742,0,0,S0,0,S,6,360,0,0,Malicious C&C
192.168.1.193,50388,134.209.72.171,4554,tcp,-,0.212127,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50390,134.209.72.171,4554,tcp,-,0.222359,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50392,134.209.72.171,4554,tcp,-,0.229853,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50394,134.209.72.171,4554,tcp,-,1.824002,11,11,RSTR,0,ShADadr,12,700,10,534,Malicious C&C
192.168.1.193,50396,134.209.72.171,4554,tcp,-,0.22161,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50398,134.209.72.171,4554,tcp,-,3.321631,11,11,SF,0,ShADdfrFr,14,798,10,510,Malicious C&C
192.168.1.193,50400,134.209.72.171,4554,tcp,-,3.114774,0,0,S0,0,S,6,360,0,0,Malicious C&C
192.168.1.193,50400,134.209.72.171,4554,tcp,-,0.189124,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50402,134.209.72.171,4554,tcp,-,0.22011,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50404,134.209.72.171,4554,tcp,-,3.107531,0,0,S0,0,S,6,360,0,0,Malicious C&C
192.168.1.193,50404,134.209.72.171,4554,tcp,-,0.212613,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50406,134.209.72.171,4554,tcp,-,1.215063,11,11,SF,0,ShADdfrFr,12,678,10,510,Malicious C&C
192.168.1.193,50408,134.209.72.171,4554,tcp,-,3.342355,11,11,SF,0,ShADfdtrFr,16,926,12,590,Malicious C&C
192.168.1.193,50410,134.209.72.171,4554,tcp,-,3.105487,0,0,S0,0,S,6,360,0,0,Malicious C&C
192.168.1.193,50410,134.209.72.171,4554,tcp,-,0.227869,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50412,134.209.72.171,4554,tcp,-,0.189891,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50414,134.209.72.171,4554,tcp,-,0.212379,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50416,134.209.72.171,4554,tcp,-,1.240046,11,11,SF,0,ShADdfrFr,12,678,10,510,Malicious C&C
192.168.1.193,50418,134.209.72.171,4554,tcp,-,3.083265,0,0,S0,0,S,6,360,0,0,Malicious C&C
192.168.1.193,50418,134.209.72.171,4554,tcp,-,0.000005,0,0,S0,0,S,2,120,0,0,Malicious C&C
192.168.1.193,50420,134.209.72.171,4554,tcp,-,1.281525,11,11,SF,0,ShADdfrFr,12,678,10,510,Malicious C&C
192.168.1.193,50422,134.209.72.171,4554,tcp,-,1.224055,11,11,SF,0,ShADdfrFr,12,678,10,510,Malicious C&C
192.168.1.193,50424,134.209.72.171,4554,tcp,-,0.221623,11,11,RSTR,0,ShADdrfFr,10,558,10,510,Malicious C&C
192.168.1.193,50426,134.209.72.171,4554,tcp,-,0.234864,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50428,134.209.72.171,4554,tcp,-,0.244859,11,11,SF,0,ShADdfrFr,12,662,10,510,Malicious C&C
192.168.1.193,50430,134.209.72.171,4554,tcp,-,1.294018,11,11,SF,0,ShADdfrFr,12,678,10,510,Malicious C&C
192.168.1.193,50432,134.209.72.171,4554,tcp,-,0.235865,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50434,134.209.72.171,4554,tcp,-,0.2128,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50436,134.209.72.171,4554,tcp,-,1.258286,11,11,SF,0,ShADdfrFr,12,678,10,510,Malicious C&C
192.168.1.193,50438,134.209.72.171,4554,tcp,-,3.105248,0,0,S0,0,S,6,360,0,0,Malicious C&C
192.168.1.193,50438,134.209.72.171,4554,tcp,-,0.226867,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50442,134.209.72.171,4554,tcp,-,1.286769,11,11,SF,0,ShADdfrFr,12,678,10,510,Malicious C&C
192.168.1.193,50444,134.209.72.171,4554,tcp,-,1.251788,11,11,SF,0,ShADdfrFr,12,678,10,510,Malicious C&C
192.168.1.193,50446,134.209.72.171,4554,tcp,-,0.203867,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50448,134.209.72.171,4554,tcp,-,0.212874,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50450,134.209.72.171,4554,tcp,-,0.22211,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50452,134.209.72.171,4554,tcp,-,0.189881,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50454,134.209.72.171,4554,tcp,-,3.136477,0,0,S0,0,S,6,360,0,0,Malicious C&C
192.168.1.193,50454,134.209.72.171,4554,tcp,-,0.198865,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50456,134.209.72.171,4554,tcp,-,0.215357,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50458,134.209.72.171,4554,tcp,-,3.307125,11,11,SF,0,ShADdfrFr,14,798,10,510,Malicious C&C
192.168.1.193,50460,134.209.72.171,4554,tcp,-,0.213127,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50462,134.209.72.171,4554,tcp,-,0.243352,11,11,SF,0,ShADdfrFr,12,662,10,510,Malicious C&C
192.168.1.193,50464,134.209.72.171,4554,tcp,-,3.362827,11,11,SF,0,ShADdfrFr,14,798,10,510,Malicious C&C
192.168.1.193,50466,134.209.72.171,4554,tcp,-,0.206129,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50468,134.209.72.171,4554,tcp,-,0.221122,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50470,134.209.72.171,4554,tcp,-,3.139468,0,0,S0,0,S,6,360,0,0,Malicious C&C
192.168.1.193,50470,134.209.72.171,4554,tcp,-,0.000005,0,0,S0,0,S,2,120,0,0,Malicious C&C
192.168.1.193,50470,134.209.72.171,4554,tcp,-,0.250356,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50472,134.209.72.171,4554,tcp,-,3.352097,11,11,SF,0,ShADdfrFr,14,798,10,510,Malicious C&C
192.168.1.193,50474,134.209.72.171,4554,tcp,-,3.114484,0,0,S0,0,S,6,360,0,0,Malicious C&C
192.168.1.193,50440,134.209.72.171,4554,tcp,-,3.456529,11,11,SF,0,ShADdfFr,14,798,8,430,Malicious C&C
192.168.1.193,50474,134.209.72.171,4554,tcp,-,0.000005,0,0,S0,0,S,2,120,0,0,Malicious C&C
192.168.1.193,50476,134.209.72.171,4554,tcp,-,3.0885,0,0,S0,0,S,6,360,0,0,Malicious C&C
192.168.1.193,50476,134.209.72.171,4554,tcp,-,0.18889,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50478,134.209.72.171,4554,tcp,-,0.196886,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50482,134.209.72.171,4554,tcp,-,0.231614,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50484,134.209.72.171,4554,tcp,-,1.231801,11,11,SF,0,ShADdfrFr,12,678,10,510,Malicious C&C
192.168.1.193,50486,134.209.72.171,4554,tcp,-,3.30862,11,11,SF,0,ShADdfrFr,14,798,10,510,Malicious C&C
192.168.1.193,50488,134.209.72.171,4554,tcp,-,0.204632,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50490,134.209.72.171,4554,tcp,-,0.221617,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50496,134.209.72.171,4554,tcp,-,3.084501,0,0,S0,0,S,6,360,0,0,Malicious C&C
192.168.1.193,50496,134.209.72.171,4554,tcp,-,0.205629,11,11,SF,0,ShADfdtrFr,12,686,12,590,Malicious C&C
192.168.1.193,50498,134.209.72.171,4554,tcp,-,1.231299,11,11,SF,0,ShADdfrFr,12,678,10,510,Malicious C&C
192.168.1.193,50500,134.209.72.171,4554,tcp,-,0.220372,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50502,134.209.72.171,4554,tcp,-,3.098015,0,0,S0,0,S,6,360,0,0,Malicious C&C
192.168.1.193,50502,134.209.72.171,4554,tcp,-,0.227105,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50504,134.209.72.171,4554,tcp,-,3.091262,0,0,S0,0,S,6,360,0,0,Malicious C&C
192.168.1.193,50504,134.209.72.171,4554,tcp,-,0.235349,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50510,134.209.72.171,4554,tcp,-,0.196878,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50512,134.209.72.171,4554,tcp,-,3.084489,0,0,S0,0,S,6,360,0,0,Malicious C&C
192.168.1.193,50512,134.209.72.171,4554,tcp,-,0.000006,0,0,S0,0,S,2,120,0,0,Malicious C&C
192.168.1.193,50512,134.209.72.171,4554,tcp,-,0.220621,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50514,134.209.72.171,4554,tcp,-,1.239543,11,11,SF,0,ShADdfrFr,12,678,10,510,Malicious C&C
192.168.1.193,50516,134.209.72.171,4554,tcp,-,0.213118,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50518,134.209.72.171,4554,tcp,-,3.293862,11,11,SF,0,ShADdfrFr,14,798,10,510,Malicious C&C
192.168.1.193,50520,134.209.72.171,4554,tcp,-,1.247289,11,11,SF,0,ShADfdtrFr,14,806,12,590,Malicious C&C
192.168.1.193,50480,134.209.72.171,4554,tcp,-,0.298838,11,11,SF,0,ShADdfFr,10,558,8,430,Malicious C&C
192.168.1.193,50522,134.209.72.171,4554,tcp,-,3.294876,11,11,RSTR,0,ShADdrfFr,14,798,10,510,Malicious C&C
192.168.1.193,50524,134.209.72.171,4554,tcp,-,0.214375,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50526,134.209.72.171,4554,tcp,-,3.103243,0,0,S0,0,S,6,360,0,0,Malicious C&C
192.168.1.193,50526,134.209.72.171,4554,tcp,-,0.227863,11,11,SF,0,ShADdfrFr,10,558,10,510,Malicious C&C
192.168.1.193,50528,134.209.72.171,4554,tcp,-,1.223803,11,11,SF,0,ShADdfrFr,12,678,10,510,Malicious C&C
192.168.1.193,50530,134.209.72.171,4554,tcp,-,3.105242,0,0,S0,0,S,6,360,0,0,Malicious C&C
